# tungsten camera trace v1
# frame	x	y	height	yaw	pitch
0	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
10	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
20	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
30	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
40	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
50	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
60	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
70	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
80	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
90	3038.996337891	3289.680908203	377.040618896	-7.013714314	-0.179880425
100	3038.996337891	3289.680908203	377.040618896	-7.198894024	-0.179880425
110	3038.996337891	3289.680908203	377.040618896	-7.198894024	-0.179880425
120	3038.996337891	3289.680908203	377.040618896	-7.445510864	-0.179880425
130	3038.996337891	3289.680908203	377.040618896	-7.445510864	-0.179880425
140	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
150	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
160	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
170	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
180	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
190	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
200	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
210	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
220	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
230	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
240	3038.996337891	3289.680908203	377.040618896	-7.661437511	-0.179880425
250	3038.996337891	3289.680908203	377.040618896	-7.506762505	-0.179880425
260	3038.996337891	3289.680908203	377.040618896	-7.414308071	-0.179880425
270	3038.996337891	3289.680908203	377.040618896	-7.383591652	-0.179880425
280	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
290	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
300	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
310	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
320	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
330	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
340	3038.996337891	3289.680908203	377.040618896	-7.198157787	-0.179880425
